imdb_title_id,total_votes,weighted_average_vote,allgenders_18age_avg_vote,allgenders_30age_avg_vote,allgenders_45age_avg_vote,males_allages_avg_vote,females_allages_avg_vote,us_voters_votes,non_us_voters_votes
tt0347105,1881,7.3,7.7,7.3,6.9,7.3,7.5,210,1086
tt0347131,579,6.7,7,6.9,5.9,6.7,6.9,39,381
tt0347138,174,5.9,7,6.3,5.1,6,6.2,25,124
tt0347145,619,5.9,5.8,6,5.8,5.9,5.9,23,290
tt0347149,291548,8.2,8.3,8.1,7.9,8.1,8.6,41657,131843
tt0347167,1901,5.2,5.4,4.9,5.5,5.2,4.6,153,1008
tt0347200,155,6.9,6.7,6.9,6.7,6.8,7,21,94
tt0347207,307,6.1,6.1,6.2,6.1,6.1,6.6,82,156
tt0347246,34306,7.5,7.6,7.5,7.3,7.5,7.6,4477,19185
tt0347278,1839,7.2,7.3,7.3,5,7.2,6.9,181,1135
tt0347293,208,7,7.3,7.5,5.2,6.9,6.8,6,154
tt0347304,58968,8,8.2,7.5,7.2,7.9,7.9,3541,26328
